trial_id,algorithm,n,mode,time_ms,calls,comparisons,swaps,mean_time_ms,median_time_ms
1,ExpoSort,4,random,0.0077,15,7,3,0.0024178217821782177,0.0023
2,ExpoSort,4,random,0.0038,15,7,2,0.0024178217821782177,0.0023
3,ExpoSort,4,random,0.0032,15,7,5,0.0024178217821782177,0.0023
4,ExpoSort,4,random,0.0027,15,7,4,0.0024178217821782177,0.0023
5,ExpoSort,4,random,0.0024,15,7,2,0.0024178217821782177,0.0023
6,ExpoSort,4,random,0.0025,15,7,4,0.0024178217821782177,0.0023
7,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
8,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
9,ExpoSort,4,random,0.0021,15,7,1,0.0024178217821782177,0.0023
10,ExpoSort,4,random,0.0026,15,7,5,0.0024178217821782177,0.0023
11,ExpoSort,4,random,0.0021,15,7,2,0.0024178217821782177,0.0023
12,ExpoSort,4,random,0.0024,15,7,3,0.0024178217821782177,0.0023
13,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
14,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
15,ExpoSort,4,random,0.0022,15,7,3,0.0024178217821782177,0.0023
16,ExpoSort,4,random,0.0025,15,7,4,0.0024178217821782177,0.0023
17,ExpoSort,4,random,0.0021,15,7,1,0.0024178217821782177,0.0023
18,ExpoSort,4,random,0.0024,15,7,4,0.0024178217821782177,0.0023
19,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
20,ExpoSort,4,random,0.0034,15,7,3,0.0024178217821782177,0.0023
21,ExpoSort,4,random,0.0024,15,7,4,0.0024178217821782177,0.0023
22,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
23,ExpoSort,4,random,0.0021,15,7,2,0.0024178217821782177,0.0023
24,ExpoSort,4,random,0.002,15,7,1,0.0024178217821782177,0.0023
25,ExpoSort,4,random,0.0021,15,7,1,0.0024178217821782177,0.0023
26,ExpoSort,4,random,0.0023,15,7,4,0.0024178217821782177,0.0023
27,ExpoSort,4,random,0.0022,15,7,1,0.0024178217821782177,0.0023
28,ExpoSort,4,random,0.0024,15,7,5,0.0024178217821782177,0.0023
29,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
30,ExpoSort,4,random,0.0021,15,7,2,0.0024178217821782177,0.0023
31,ExpoSort,4,random,0.0022,15,7,3,0.0024178217821782177,0.0023
32,ExpoSort,4,random,0.0023,15,7,4,0.0024178217821782177,0.0023
33,ExpoSort,4,random,0.0023,15,7,4,0.0024178217821782177,0.0023
34,ExpoSort,4,random,0.0021,15,7,1,0.0024178217821782177,0.0023
35,ExpoSort,4,random,0.0025,15,7,5,0.0024178217821782177,0.0023
36,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
37,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
38,ExpoSort,4,random,0.0022,15,7,4,0.0024178217821782177,0.0023
39,ExpoSort,4,random,0.002,15,7,1,0.0024178217821782177,0.0023
40,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
41,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
42,ExpoSort,4,random,0.0024,15,7,4,0.0024178217821782177,0.0023
43,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
44,ExpoSort,4,random,0.0021,15,7,2,0.0024178217821782177,0.0023
45,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
46,ExpoSort,4,random,0.0024,15,7,4,0.0024178217821782177,0.0023
47,ExpoSort,4,random,0.0024,15,7,4,0.0024178217821782177,0.0023
48,ExpoSort,4,random,0.0021,15,7,2,0.0024178217821782177,0.0023
49,ExpoSort,4,random,0.0024,15,7,4,0.0024178217821782177,0.0023
50,ExpoSort,4,random,0.0024,15,7,5,0.0024178217821782177,0.0023
51,ExpoSort,4,random,0.0022,15,7,3,0.0024178217821782177,0.0023
52,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
53,ExpoSort,4,random,0.0023,15,7,4,0.0024178217821782177,0.0023
54,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
55,ExpoSort,4,random,0.0022,15,7,3,0.0024178217821782177,0.0023
56,ExpoSort,4,random,0.002,15,7,1,0.0024178217821782177,0.0023
57,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
58,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
59,ExpoSort,4,random,0.0024,15,7,5,0.0024178217821782177,0.0023
60,ExpoSort,4,random,0.0023,15,7,4,0.0024178217821782177,0.0023
61,ExpoSort,4,random,0.0024,15,7,4,0.0024178217821782177,0.0023
62,ExpoSort,4,random,0.0023,15,7,4,0.0024178217821782177,0.0023
63,ExpoSort,4,random,0.0024,15,7,4,0.0024178217821782177,0.0023
64,ExpoSort,4,random,0.0021,15,7,1,0.0024178217821782177,0.0023
65,ExpoSort,4,random,0.0023,15,7,4,0.0024178217821782177,0.0023
66,ExpoSort,4,random,0.0024,15,7,4,0.0024178217821782177,0.0023
67,ExpoSort,4,random,0.002,15,7,1,0.0024178217821782177,0.0023
68,ExpoSort,4,random,0.0025,15,7,5,0.0024178217821782177,0.0023
69,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
70,ExpoSort,4,random,0.002,15,7,1,0.0024178217821782177,0.0023
71,ExpoSort,4,random,0.0021,15,7,2,0.0024178217821782177,0.0023
72,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
73,ExpoSort,4,random,0.0021,15,7,1,0.0024178217821782177,0.0023
74,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
75,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
76,ExpoSort,4,random,0.0024,15,7,5,0.0024178217821782177,0.0023
77,ExpoSort,4,random,0.0025,15,7,5,0.0024178217821782177,0.0023
78,ExpoSort,4,random,0.0024,15,7,5,0.0024178217821782177,0.0023
79,ExpoSort,4,random,0.0071,15,7,2,0.0024178217821782177,0.0023
80,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
81,ExpoSort,4,random,0.0024,15,7,5,0.0024178217821782177,0.0023
82,ExpoSort,4,random,0.0024,15,7,5,0.0024178217821782177,0.0023
83,ExpoSort,4,random,0.0025,15,7,5,0.0024178217821782177,0.0023
84,ExpoSort,4,random,0.0023,15,7,4,0.0024178217821782177,0.0023
85,ExpoSort,4,random,0.0023,15,7,3,0.0024178217821782177,0.0023
86,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
87,ExpoSort,4,random,0.0022,15,7,2,0.0024178217821782177,0.0023
